url,method,body,Host,Proxy-Connection,Upgrade-Insecure-Requests,User-Agent,Accept,Sec-GPC,Accept-Language,Accept-Encoding,Referer,Content-Length,Cache-Control,Origin,Content-Type,Cookie,content-type,X-Requested-With,Pragma,Authorization,Purpose
http://testphp.vulnweb.com/login.php,GET,,testphp.vulnweb.com,keep-alive,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8",1,"en-US,en;q=0.5","gzip, deflate",,,,,,,,,,,
http://testphp.vulnweb.com/index.php,GET,,testphp.vulnweb.com,keep-alive,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8",1,"en-US,en;q=0.5","gzip, deflate",http://testphp.vulnweb.com/login.php,,,,,,,,,,
http://testphp.vulnweb.com/categories.php,GET,,testphp.vulnweb.com,keep-alive,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8",1,"en-US,en;q=0.5","gzip, deflate",http://testphp.vulnweb.com/index.php,,,,,,,,,,
http://testphp.vulnweb.com/artists.php,GET,,testphp.vulnweb.com,keep-alive,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8",1,"en-US,en;q=0.5","gzip, deflate",http://testphp.vulnweb.com/categories.php,,,,,,,,,,
http://testphp.vulnweb.com/disclaimer.php,GET,,testphp.vulnweb.com,keep-alive,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8",1,"en-US,en;q=0.5","gzip, deflate",http://testphp.vulnweb.com/artists.php,,,,,,,,,,
http://testphp.vulnweb.com/cart.php,GET,,testphp.vulnweb.com,keep-alive,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8",1,"en-US,en;q=0.5","gzip, deflate",http://testphp.vulnweb.com/disclaimer.php,,,,,,,,,,
http://testphp.vulnweb.com/guestbook.php,GET,,testphp.vulnweb.com,keep-alive,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8",1,"en-US,en;q=0.5","gzip, deflate",http://testphp.vulnweb.com/cart.php,,,,,,,,,,
http://testphp.vulnweb.com/AJAX/index.php,GET,,testphp.vulnweb.com,keep-alive,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8",1,"en-US,en;q=0.5","gzip, deflate",http://testphp.vulnweb.com/guestbook.php,,,,,,,,,,
http://testphp.vulnweb.com/AJAX/styles.css,GET,,testphp.vulnweb.com,keep-alive,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","text/css,*/*;q=0.1",1,"en-US,en;q=0.5","gzip, deflate",http://testphp.vulnweb.com/AJAX/index.php,,,,,,,,,,
http://testphp.vulnweb.com/AJAX/titles.php,GET,,testphp.vulnweb.com,keep-alive,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",*/*,1,"en-US,en;q=0.5","gzip, deflate",http://testphp.vulnweb.com/AJAX/index.php,,,,,,,,,,
