method,entropy,packet_length,sqli_keywords,number_of_special_chars,url_length,query_param_count,query_param_length,path_depth,is_sql_injection
POST,3.7614457889184743,0,7,13,39,0,0,1,True
POST,4.127569435189147,0,5,8,39,0,0,1,True
POST,4.528841303922397,0,9,11,39,0,0,1,True
POST,4.473839397179405,0,9,11,39,0,0,1,True
POST,4.40974237418643,0,7,9,39,0,0,1,True
POST,4.40974237418643,0,7,9,36,0,0,1,True
POST,4.190615619876376,0,7,9,39,0,0,1,True
POST,4.190615619876376,0,7,9,36,0,0,1,True
POST,4.329099659325983,0,6,7,39,0,0,1,True
POST,4.329099659325983,0,6,7,36,0,0,1,True
POST,4.342824886638046,0,6,7,39,0,0,1,True
POST,4.342824886638046,0,6,7,36,0,0,1,True
POST,4.057855988582063,0,2,4,39,0,0,1,True
POST,4.057855988582063,0,2,4,36,0,0,1,True
POST,3.9552918860179607,0,2,4,39,0,0,1,True
POST,3.9552918860179607,0,2,4,36,0,0,1,True
POST,4.241089815628948,0,3,6,39,0,0,1,True
POST,4.241089815628948,0,3,6,36,0,0,1,True
POST,4.249014336859389,0,3,6,39,0,0,1,True
POST,4.249014336859389,0,3,6,36,0,0,1,True
POST,4.707812990110175,0,19,12,39,0,0,1,True
POST,4.707812990110175,0,19,12,36,0,0,1,True
POST,4.75331591772142,0,19,12,39,0,0,1,True
POST,4.75331591772142,0,19,12,36,0,0,1,True
POST,4.745311085479344,0,23,16,39,0,0,1,True
POST,4.745311085479344,0,23,16,36,0,0,1,True
POST,4.252453066090017,0,5,7,39,0,0,1,True
POST,3.930791756463185,0,5,7,39,0,0,1,True
POST,4.1898860782540055,0,4,6,39,0,0,1,True
POST,4.1898860782540055,0,4,6,36,0,0,1,True
POST,3.860379370831397,0,4,6,39,0,0,1,True
POST,3.860379370831397,0,4,6,36,0,0,1,True
POST,4.122693700152457,0,4,6,39,0,0,1,True
POST,4.122693700152457,0,4,6,36,0,0,1,True
POST,3.860379370831397,0,4,6,39,0,0,1,True
POST,3.860379370831397,0,4,6,36,0,0,1,True
POST,4.312908871424721,0,6,8,39,0,0,1,True
POST,3.952216429463629,0,6,8,39,0,0,1,True
POST,4.308768198567054,0,7,9,39,0,0,1,True
POST,3.9562733121050786,0,7,9,39,0,0,1,True
POST,4.252453066090017,0,5,7,39,0,0,1,True
POST,4.252453066090017,0,5,7,36,0,0,1,True
POST,3.930791756463185,0,5,7,39,0,0,1,True
POST,3.930791756463185,0,5,7,36,0,0,1,True
POST,4.3000721137090645,0,5,7,39,0,0,1,True
POST,4.3000721137090645,0,5,7,36,0,0,1,True
POST,3.930791756463185,0,5,7,39,0,0,1,True
POST,3.930791756463185,0,5,7,36,0,0,1,True
POST,4.20233009230464,0,6,8,39,0,0,1,True
POST,4.20233009230464,0,6,8,36,0,0,1,True
POST,3.952216429463629,0,6,8,39,0,0,1,True
POST,3.952216429463629,0,6,8,36,0,0,1,True
POST,4.263313653112509,0,7,9,39,0,0,1,True
POST,4.263313653112509,0,7,9,36,0,0,1,True
POST,3.9562733121050786,0,7,9,39,0,0,1,True
POST,3.9562733121050786,0,7,9,36,0,0,1,True
POST,4.739315265240144,0,9,9,39,0,0,1,True
POST,4.534310228023583,0,9,9,39,0,0,1,True
POST,4.717125900792044,0,9,9,39,0,0,1,True
POST,4.717125900792044,0,9,9,36,0,0,1,True
POST,4.416397772353581,0,9,9,39,0,0,1,True
POST,4.416397772353581,0,9,9,36,0,0,1,True
POST,4.5216139153581825,0,8,8,39,0,0,1,True
POST,4.527137066518793,0,8,8,39,0,0,1,True
POST,4.750695968066724,0,8,8,39,0,0,1,True
POST,4.750695968066724,0,8,8,36,0,0,1,True
POST,4.4953209230322795,0,8,8,39,0,0,1,True
